DATE_KEY,STORE,PRICE_PAID,QTY,DESCRIPTION,DEPARTMENT,CATEGORY
20170214,474b970ea28c6765175d45086572583e3becd0be,3.29,1,ENRGZ 3V WTCH LITH 2016,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,eca1692090f0ceeed99f0b54db9ca6b40b1ad74d,3.29,1,ENRGZ 3V WTCH LITH 2016,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,aef535368df71b023fd568e866451e6dcc3abea6,3.29,1,ENRGZ 3V WTCH LITH 2016,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,2a096c31f7d2a81594299661e3519eab88003aab,3.29,1,ENRGZ 3V WTCH LITH 2016,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,ff54d085bcda3727af4952d734b0f7788c3c4542,3.29,1,ENRGZ 3V WTCH LITH 2016,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,eca1692090f0ceeed99f0b54db9ca6b40b1ad74d,3.29,1,ENRGZ 3V WTCH LITH 2016,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,9e18a79c8156a9876f9d25d90d053f7bec12b75,3.29,1,ENRGZ 3V WTCH LITH 2016,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,9e18a79c8156a9876f9d25d90d053f7bec12b75,3.29,1,ENRGZ 3V WTCH LITH 2016,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,5e90a664e25da3e92cd62e316adf57ec81c79bc0,3.29,1,ENRGZ 3V WTCH LITH 2016,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,aef535368df71b023fd568e866451e6dcc3abea6,3.29,1,ENRGZ 3V WTCH LITH 2025,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,4b0ec7d5b0e594e63204f4065a74dbaf9e7f3954,3.29,1,ENRGZ 3V WTCH LITH 2025,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,33287c5da8b6c1b3b8a8edc4063b5cf3d46e76ff,3.29,1,ENRGZ 3V WTCH LITH 2025,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,33287c5da8b6c1b3b8a8edc4063b5cf3d46e76ff,3.29,1,ENRGZ 3V WTCH LITH 2025,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,33287c5da8b6c1b3b8a8edc4063b5cf3d46e76ff,3.29,1,ENRGZ 3V WTCH LITH 2025,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,ff54d085bcda3727af4952d734b0f7788c3c4542,3.29,1,ENRGZ 3V WTCH LITH 2025,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,aef535368df71b023fd568e866451e6dcc3abea6,3.29,1,ENRGZ 3V WTCH LITH 2025,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,735d597bf488c0b2b8f9c4db43eb910c7fba4d8c,3.29,1,ENRGZ 3V WTCH LITH 2025,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,52172f0b32645a11e211fbeb5ada592ade285957,3.29,1,ENRGZ 3V WTCH LITH 2025,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
